Source,Reliability,Bias
WASHINGTON EXAMINER,32.9,13.43
WASHINGTON FREE BEACON,36.3,13.36
WASHINGTON MONTHLY,30.19,-16.29
WASHINGTON POST,39.82,-8.68
WASHINGTON TIMES,36.07,12.37
WASHINGTON WEEK,39.78,-10.89
WASHINGTON'S TOP NEWS,46.44,-0.32
WASHINGTONIAN,42.98,-2.62
WATTERS' WORLD,29.33,19.0
WATTS UP WITH THAT?,25.52,13.76
WEASEL ZIPPERS,25.38,13.42
WESTERN JOURNAL,29.44,19.69
WHAT A DAY,35.67,-17.92
WHAT NEXT,42.22,-7.44
WHAT THE HELL IS GOING ON?,34.56,11.56
WHAT'S NEWS,49.0,0.44
WHITE FLAG WITH JOE WALSH,34.11,-11.11
WHO WHAT WHY,36.22,-12.85
WHY IS THIS HAPPENING? WITH CHRIS HAYES,43.33,-12.56
WIRED,44.35,-5.26
WITNESS,49.56,-8.22
WND,21.91,20.6
WONKETTE,17.44,-26.59
WORLD NEWS ROUNDUP,46.42,-1.5
WORLD SOCIALIST WEB SITE,31.94,-25.76
WORLDTRUTH.TV,8.52,25.64
WORLDTRUTH.TV,8.52,25.64
X22 REPORT,7.9,33.48
YAHOO.COM,42.45,-6.69
YES! MAGAZINE,39.68,-14.75
YOU AND ME BOTH WITH HILLARY CLINTON,31.11,-13.11
YOUR MONEY BRIEFING,44.83,-0.25
YOUR WORLD WITH NEIL CAVUTO,37.89,14.33
ZEROHEDGE,24.7,15.56
